verbLemma,theme,verbSense
advance,the money,Transfer Posession
advance,the loan,Transfer Posession
advance,a payment,Transfer Posession
advance,something,Transfer Posession
advance,a proposal,Abstract
allocate,some land,Abstract
allocate,the tickets,Abstract
allocate,the money,Abstract
allocate,something,Abstract
allocate,some space,Abstract
allot,the bonus,Abstract
allot,the money,Abstract
allot,some gas,Abstract
allot,something,Abstract
allot,two tickets,Abstract
ask,a question,Communication
ask,some questions,Communication
ask,something,Communication
ask,the question,Communication
ask,the questions,Communication
assign,the responsibility,Abstract
assign,an assistant,Abstract
assign,something,Abstract
assign,a desk,Transfer Posession
assign,the job,Abstract
award,the job,Abstract
award,some tickets,Transfer Posession
award,a raise,Abstract
award,something,Abstract
award,the trophy,Transfer Posession
bat,a curve-ball,Transfer Posession
bat,a foul ball,Transfer Posession
bat,something,Transfer Posession
bat,the ball,Transfer Posession
bat,the baseball,Transfer Posession
bequeath,the estate,Transfer Posession
bequeath,the money,Transfer Posession
bequeath,a portrait,Transfer Posession
bequeath,something,Transfer Posession
bequeath,a large sum,Transfer Posession
bounce,something,Transfer Posession
bounce,the shoe,Transfer Posession
bounce,a bottle,Transfer Posession
bounce,a toy,Transfer Posession
bounce,the ball,Transfer Posession
bring,a blanket,Transfer Posession
bring,something,Transfer Posession
bring,the gift,Transfer Posession
bring,the cake,Transfer Posession
bring,a meal,Transfer Posession
bus,some instruments,Transfer Posession
bus,some suitcases,Transfer Posession
bus,the packages,Transfer Posession
bus,the students,Transfer Posession
bus,something,Transfer Posession
cable,some directions,Communication
cable,something,Communication
cable,the news,Communication
cable,the instructons,Communication
cable,a location,Communication
carry,the suitcase,Transfer Posession
carry,a candle,Transfer Posession
carry,the box,Transfer Posession
carry,a plate,Transfer Posession
carry,something,Transfer Posession
cart,some books,Transfer Posession
cart,something,Transfer Posession
cart,the clothes,Transfer Posession
cart,the fruit,Transfer Posession
cart,some medicine,Transfer Posession
catapult,something,Transfer Posession
catapult,the box,Transfer Posession
catapult,a ball,Transfer Posession
catapult,the contents,Transfer Posession
catapult,a container,Transfer Posession
cede,the point,Abstract
cede,the floor,Abstract
cede,a case,Abstract
cede,a win,Abstract
cede,something,Abstract
chuck,a bag,Transfer Posession
chuck,something,Transfer Posession
chuck,the ball,Transfer Posession
chuck,a tennis ball,Transfer Posession
chuck,the baseball,Transfer Posession
cite,the book,Communication
cite,a quote,Communication
cite,some results,Communication
cite,the passage,Communication
cite,something,Communication
concede,the point,Abstract
concede,a spot,Transfer Posession
